contributors,watchers,forks,stars,size,open_issues,pull_requests,releases,commits,events,average_time_close_pull_requests_first_100,average_time_close_pull_requests_last_100,average_time_close_issues_first_100,average_time_close_issues_last_100,frequency_commits_first_100,frequency_commits_last_100,frequency_events_last_100,creation_date
97,52,242,3504,52221,274,17,492,4249,276,49655120.76,49655120.76,27605125.35,444788.87,24102.72,26035.37,1291.91,1496966400.0
108,196,1521,4972,28432,52,11,16,6471,205,49485162.55,49485162.55,76813423.29,76813423.29,247458.36,449744.27,41588.7,1433289600.0
25,18,60,624,22349,67,3,22,1281,7,49031629.67,49031629.67,30741707.03,30741707.03,37339.46,725882.9,1053805.714,1544486400.0
45,36,80,528,55530,95,7,347,9114,289,48977794.0,48977794.0,30167266.42,30167266.42,61928.97,96775.77,7888.72,1457740800.0
23,74,226,2668,16121,89,5,108,2387,29,48872668.4,48872668.4,9551681.034,9551681.034,23705.41,726431.57,243221.6552,1440115200.0
60,35,163,847,61120,43,9,26,4635,30,48854494.0,48854494.0,26638606.81,26638606.81,133895.39,805010.71,246060.5,1483833600.0
70,64,290,512,54546,64,22,25,2283,2,48654424.86,48654424.86,57228657.0,57228657.0,40927.52,29024.19,1141969.0,1529020800.0
168,67,447,715,206860,294,86,35,3681,267,48442694.63,48442694.63,12305925.91,2716532.89,21430.81,100235.69,6492.47,1459728000.0
28,35,205,1865,25305,94,9,11,901,232,48292567.78,48292567.78,20563422.02,20563422.02,33184.88,389943.43,16780.36,1511222400.0
137,839,5429,26194,254241,200,44,66,8690,276,48280797.41,48280797.41,51317654.6,2771024.56,9788.31,388045.19,9178.85,1430265600.0
32,24,95,1022,51103,143,13,22,3402,141,48110612.69,48110612.69,11384680.43,10740950.91,209017.29,192515.43,44148.3,1524787200.0
37,72,240,830,40503,143,30,51,7080,13,48032177.03,48032177.03,8528190.64,6538892.32,24204.84,1059759.56,545341.1538,1409097600.0
67,91,573,3535,17191,104,20,21,1809,281,47875147.2,47875147.2,19630969.99,2997378.93,92763.21,88147.89,20513.45,1332201600.0
98,242,1163,3574,63792,277,19,27,10731,235,47612082.16,47612082.16,7065633.97,2668746.17,123780.29,264598.33,23490.89,1386288000.0
144,141,428,3328,16113,117,9,75,8365,294,47360435.44,47360435.44,17517961.06,2456025.26,122868.81,64226.01,15044.14,1377993600.0
24,42,91,680,13057,152,8,2,728,26,47310075.13,47310075.13,42497624.39,13583949.58,1816791.4,922097.6,276735.3462,1396310400.0
165,44,371,7079,10367,391,44,65,3040,274,46798164.7,46798164.7,17608759.64,1314168.59,267756.19,75217.17,2933.07,1551744000.0
