No.,repo_name,repo_url,contributors,watchers,forks,stars,size,open_issues,pull_requests,releases,commits,events,average_time_close_pull_requests_first_100,average_time_close_pull_requests_last_100,average_time_close_issues_first_100,average_time_close_issues_last_100,frequency_commits_first_100,frequency_commits_last_100,frequency_events_last_100,creation_date
937,RedisInsight/RedisDesktopManager,https://github.com/RedisInsight/RedisDesktopManager,83,621,3268,22988,78590,58,5,87,2166,170,47897553.8,47897553.8,282980343.5,282980343.5,64098.37,385093.94,45838.08,8/5/2013
938,rime/librime,https://github.com/rime/librime,67,91,573,3535,17191,104,20,21,1809,281,47875147.2,47875147.2,19630969.99,2997378.93,92763.21,88147.89,20513.45,3/20/2012
939,MikePopoloski/slang,https://github.com/MikePopoloski/slang,59,30,144,659,31379,38,3,16,4964,276,47771185.0,47771185.0,198583548.3,198583548.3,57346.27,63080.0,13573.52,2/3/2017
940,srsran/srsRAN_4G,https://github.com/srsran/srsRAN_4G,98,242,1163,3574,63792,277,19,27,10731,235,47612082.16,47612082.16,7065633.97,2668746.17,123780.29,264598.33,23490.89,12/6/2013
942,PurpleI2P/i2pd,https://github.com/PurpleI2P/i2pd,144,141,428,3328,16113,117,9,75,8365,294,47360435.44,47360435.44,17517961.06,2456025.26,122868.81,64226.01,15044.14,9/1/2013
943,KranX/Vangers,https://github.com/KranX/Vangers,24,42,91,680,13057,152,8,2,728,26,47310075.13,47310075.13,42497624.39,13583949.58,1816791.4,922097.6,276735.3462,4/1/2014
946,mamba-org/mamba,https://github.com/mamba-org/mamba,165,44,371,7079,10367,391,44,65,3040,274,46798164.7,46798164.7,17608759.64,1314168.59,267756.19,75217.17,2933.07,3/5/2019
947,unrealcv/unrealcv,https://github.com/unrealcv/unrealcv,17,97,444,1942,18989,102,6,5,1183,67,46783808.17,46783808.17,29185461.46,27413092.87,20920.88,1702301.97,116663.8955,9/8/2016
949,ericniebler/range-v3,https://github.com/ericniebler/range-v3,126,154,445,4171,34402,262,22,19,2537,91,46693255.55,46693255.55,5649361.23,3143204.63,91576.03,1199899.58,81835.13187,11/11/2013
952,mpusz/mp-units,https://github.com/mpusz/mp-units,37,33,94,1130,29604,46,10,16,4027,291,46504179.7,46504179.7,110019835.6,110019835.6,224371.53,47324.75,25752.33,8/22/2018
